Series Name,"Series Code","Country Name","Country Code","2019 [YR2019]"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Afghanistan","AFG","64.833"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Albania","ALB","78.573"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Algeria","DZA","76.88"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","American Samoa","ASM",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Andorra","AND",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Angola","AGO","61.147"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Antigua and Barbuda","ATG","77.016"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Argentina","ARG","76.667"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Armenia","ARM","75.087"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Aruba","ABW","76.293"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Australia","AUS","82.9"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Austria","AUT","81.8951219512195"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Azerbaijan","AZE","73.005"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bahamas, The","BHS","73.918"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bahrain","BHR","77.292"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bangladesh","BGD","72.591"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Barbados","BRB","79.19"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belarus","BLR","74.2268292682927"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belgium","BEL","81.9951219512195"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Belize","BLZ","74.623"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Benin","BEN","61.771"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bermuda","BMU","81.8665853658537"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bhutan","BTN","71.777"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bolivia","BOL","71.513"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bosnia and Herzegovina","BIH","77.401"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Botswana","BWA","69.592"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Brazil","BRA","75.881"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","British Virgin Islands","VGB",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Brunei Darussalam","BRN","75.86"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Bulgaria","BGR","75.1121951219512"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Burkina Faso","BFA","61.577"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Burundi","BDI","61.584"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cabo Verde","CPV","72.981"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cambodia","KHM","69.823"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cameroon","CMR","59.292"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Canada","CAN","82.0487804878049"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cayman Islands","CYM",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Central African Republic","CAF","53.283"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Chad","TCD","54.239"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Channel Islands","CHI","83.086"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Chile","CHL","80.181"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","China","CHN","76.912"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Colombia","COL","77.287"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Comoros","COM","64.321"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Congo, Dem. Rep.","COD","60.681"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Congo, Rep.","COG","64.57"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Costa Rica","CRI","80.279"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cote d'Ivoire","CIV","57.783"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Croatia","HRV","78.4243902439025"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cuba","CUB","78.802"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Curacao","CUW",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Cyprus","CYP","80.982"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Czechia","CZE","79.2292682926829"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Denmark","DNK","81.4512195121951"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Djibouti","DJI","67.112"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominica","DMA",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Dominican Republic","DOM","74.081"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ecuador","ECU","77.01"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Egypt, Arab Rep.","EGY","71.99"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","El Salvador","SLV","73.317"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Equatorial Guinea","GNQ","58.735"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Eritrea","ERI","66.321"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Estonia","EST","78.6463414634147"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Eswatini","SWZ","60.194"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ethiopia","ETH","66.597"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Faroe Islands","FRO","82.7926829268293"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Fiji","FJI","67.444"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Finland","FIN","81.9829268292683"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","France","FRA","82.8268292682927"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","French Polynesia","PYF","77.657"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gabon","GAB","66.467"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gambia, The","GMB","62.05"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Georgia","GEO","73.767"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Germany","DEU","81.2926829268293"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ghana","GHA","64.074"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Gibraltar","GIB",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Greece","GRC","81.6390243902439"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Greenland","GRL","72.0475609756098"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Grenada","GRD","72.397"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guam","GUM","80.074"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guatemala","GTM","74.302"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guinea","GIN","61.602"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guinea-Bissau","GNB","58.322"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Guyana","GUY","69.906"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Haiti","HTI","64.001"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Honduras","HND","75.27"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Hong Kong SAR, China","HKG","85.0780487804878"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Hungary","HUN","76.3195121951219"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iceland","ISL","83.1634146341463"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","India","IND","69.656"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Indonesia","IDN","71.716"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iran, Islamic Rep.","IRN","76.677"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Iraq","IRQ","70.604"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ireland","IRL","82.7024390243903"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Isle of Man","IMN",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Israel","ISR","82.8048780487805"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Italy","ITA","83.4975609756098"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Jamaica","JAM","74.475"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Japan","JPN","84.3563414634146"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Jordan","JOR","74.526"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kazakhstan","KAZ","73.18"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kenya","KEN","66.699"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kiribati","KIR","68.369"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Korea, Dem. People's Rep.","PRK","72.274"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Korea, Rep.","KOR","83.2268292682927"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kosovo","XKX","73.0926829268293"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kuwait","KWT","75.489"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Kyrgyz Republic","KGZ","71.6"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lao PDR","LAO","67.923"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Latvia","LVA","75.3878048780488"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lebanon","LBN","78.93"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lesotho","LSO","54.331"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Liberia","LBR","64.104"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Libya","LBY","72.913"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Liechtenstein","LIE","84.1609756097561"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lithuania","LTU","76.2829268292683"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Luxembourg","LUX","82.6390243902439"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Macao SAR, China","MAC","84.244"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Madagascar","MDG","67.041"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Malawi","MWI","64.263"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Malaysia","MYS","76.156"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Maldives","MDV","78.921"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mali","MLI","59.306"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Malta","MLT","82.8585365853659"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Marshall Islands","MHL",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mauritania","MRT","64.925"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mauritius","MUS","74.2358536585366"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mexico","MEX","75.054"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Micronesia, Fed. Sts.","FSM","67.883"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Moldova","MDA","71.901"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Monaco","MCO",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mongolia","MNG","69.87"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Montenegro","MNE","76.6829268292683"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Morocco","MAR","76.68"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Mozambique","MOZ","60.854"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Myanmar","MMR","67.134"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Namibia","NAM","63.708"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Nauru","NRU",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Nepal","NPL","70.778"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Netherlands","NLD","82.1121951219512"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","New Caledonia","NCL","77.6341463414634"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","New Zealand","NZL","81.7073170731707"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Nicaragua","NIC","74.485"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Niger","NER","62.42"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Nigeria","NGA","54.687"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","North Macedonia","MKD","76.6024390243903"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Northern Mariana Islands","MNP",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Norway","NOR","82.9585365853659"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Oman","OMN","77.861"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Pakistan","PAK","67.273"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Palau","PLW",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Panama","PAN","78.506"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Papua New Guinea","PNG","64.501"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Paraguay","PRY","74.254"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Peru","PER","76.736"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Philippines","PHL","71.231"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Poland","POL","77.9048780487805"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Portugal","PRT","81.6756097560976"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Puerto Rico","PRI","79.928512195122"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Qatar","QAT","80.227"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Romania","ROU","75.6073170731707"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Russian Federation","RUS","73.0839024390244"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Rwanda","RWA","69.024"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Samoa","WSM","73.321"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","San Marino","SMR",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sao Tome and Principe","STP","70.385"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Saudi Arabia","SAU","75.133"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Senegal","SEN","67.941"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Serbia","SRB","75.9365853658537"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Seychelles","SYC","74.0463414634146"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sierra Leone","SLE","54.696"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Singapore","SGP","83.5951219512195"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sint Maarten (Dutch part)","SXM",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Slovak Republic","SVK","77.6658536585366"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Slovenia","SVN","81.5292682926829"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Solomon Islands","SLB","72.996"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Somalia","SOM","57.397"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","South Africa","ZAF","64.131"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","South Sudan","SSD","57.846"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Spain","ESP","83.8317073170732"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sri Lanka","LKA","76.978"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","St. Kitts and Nevis","KNA",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","St. Lucia","LCA","76.203"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","St. Martin (French part)","MAF","79.9731707317073"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","St. Vincent and the Grenadines","VCT","72.534"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sudan","SDN","65.311"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Suriname","SUR","71.682"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sweden","SWE","83.109756097561"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Switzerland","CHE","83.9048780487805"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Syrian Arab Republic","SYR","72.697"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Tajikistan","TJK","71.097"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Tanzania","TZA","65.456"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Thailand","THA","77.15"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Timor-Leste","TLS","69.495"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Togo","TGO","61.042"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Tonga","TON","70.907"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Trinidad and Tobago","TTO","73.507"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Tunisia","TUN","76.699"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Turkiye","TUR","77.691"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Turkmenistan","TKM","68.191"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Turks and Caicos Islands","TCA",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Tuvalu","TUV",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Uganda","UGA","63.368"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Ukraine","UKR","71.8273170731707"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","United Arab Emirates","ARE","77.972"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","United Kingdom","GBR","81.2048780487805"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","United States","USA","78.7878048780488"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Uruguay","URY","77.911"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Uzbekistan","UZB","71.725"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Vanuatu","VUT","70.474"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Venezuela, RB","VEN","72.064"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Vietnam","VNM","75.4"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Virgin Islands (U.S.)","VIR","79.6682926829268"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","West Bank and Gaza","PSE","74.053"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Yemen, Rep.","YEM","66.125"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Zambia","ZMB","63.886"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Zimbabwe","ZWE","61.49"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Africa Eastern and Southern","AFE","64.0052126245997"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Africa Western and Central","AFW","58.1157227231324"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Arab World","ARB","71.9897093670282"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Caribbean small states","CSS","73.7547323090936"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Central Europe and the Baltics","CEB","77.2668440868557"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Early-demographic dividend","EAR","70.7012013247764"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","East Asia & Pacific","EAS","76.2668758663658"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","East Asia & Pacific (excluding high income)","EAP","75.4097032387878"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","East Asia & Pacific (IDA & IBRD countries)","TEA","75.448435105141"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Euro area","EMU","82.3261827822172"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Europe & Central Asia","ECS","78.1591274605138"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Europe & Central Asia (excluding high income)","ECA","73.8758543655586"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Europe & Central Asia (IDA & IBRD countries)","TEC","74.3207353550341"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","European Union","EUU","81.31327017295"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Fragile and conflict affected situations","FCS","62.7699657176083"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Heavily indebted poor countries (HIPC)","HPC","63.4864553256302"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","High income","HIC","80.8862524480768"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","IBRD only","IBD","73.6155442434613"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","IDA & IBRD total","IBT","71.2810998904137"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","IDA blend","IDB","62.4089972219881"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","IDA only","IDX","65.6143077206477"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","IDA total","IDA","64.5369488281983"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Late-demographic dividend","LTE","76.4412881269183"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Latin America & Caribbean","LCN","75.6014950394695"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Latin America & Caribbean (excluding high income)","LAC","75.570175851589"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Latin America & the Caribbean (IDA & IBRD countries)","TLA","75.5203877691048"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Least developed countries: UN classification","LDC","65.3439325137345"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Low & middle income","LMY","71.2049080545178"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Low income","LIC","63.7319949477722"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Lower middle income","LMC","69.1368212313025"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Middle East & North Africa","MEA","74.2708741030731"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Middle East & North Africa (excluding high income)","MNA","73.7775893150047"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Middle East & North Africa (IDA & IBRD countries)","TMN","73.7742356819193"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Middle income","MIC","72.0694392835072"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","North America","NAC","79.1233652827644"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Not classified","INX",".."
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","OECD members","OED","80.2864426963296"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Other small states","OSS","68.8355848870529"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Pacific island small states","PSS","70.079731488335"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Post-demographic dividend","PST","80.8911083268054"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Pre-demographic dividend","PRE","61.1759780623445"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Small states","SST","69.7813233816927"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","South Asia","SAS","69.6436174250367"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","South Asia (IDA & IBRD)","TSA","69.6436174250367"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sub-Saharan Africa","SSF","61.6274515420848"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sub-Saharan Africa (excluding high income)","SSA","61.6263561968196"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Sub-Saharan Africa (IDA & IBRD countries)","TSS","61.6274515420848"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","Upper middle income","UMC","75.9402253347522"
"Life expectancy at birth, total (years)","SP.DYN.LE00.IN","World","WLD","72.7632228678376"
,"","","",""
,"","","",""
,"","","",""
Data from database: World Development Indicators,"","","",""
Last Updated: 09/16/2022,"","","",""
